               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.019988,            0.004424,            0.002123,             0.98671,                   1,               0.995,             0.78116,             0.01938,           0.0026575,           0.0017975,           0.0049675,           0.0049675,           0.0049675
                  63,             0.01922,           0.0043491,           0.0016976,             0.98947,                   1,               0.995,             0.79934,            0.020448,           0.0026211,           0.0016632,            0.004885,            0.004885,            0.004885
                  64,            0.019497,             0.00443,            0.001658,             0.98871,                   1,               0.995,              0.8145,            0.020171,           0.0026253,           0.0016008,           0.0048025,           0.0048025,           0.0048025
                  65,             0.01927,           0.0045282,            0.001626,             0.98851,                   1,               0.995,             0.76376,            0.018726,            0.002558,           0.0015446,             0.00472,             0.00472,             0.00472
                  66,            0.018599,           0.0044403,           0.0015487,             0.98321,                   1,               0.995,              0.8159,            0.017682,           0.0025416,           0.0016064,           0.0046375,           0.0046375,           0.0046375
                  67,            0.019321,           0.0043563,           0.0017906,             0.98409,                   1,               0.995,             0.81688,            0.020005,           0.0025505,           0.0017042,            0.004555,            0.004555,            0.004555
                  68,            0.018477,           0.0042105,           0.0021533,             0.98451,                   1,               0.995,             0.73974,            0.021572,           0.0026402,           0.0016359,           0.0044725,           0.0044725,           0.0044725
                  69,            0.017876,           0.0040683,           0.0018609,             0.98644,                   1,               0.995,             0.76654,            0.018672,           0.0025734,           0.0015661,             0.00439,             0.00439,             0.00439
                  70,            0.017436,           0.0042841,           0.0020921,             0.98944,                   1,               0.995,             0.74424,            0.018575,            0.002623,           0.0013824,           0.0043075,           0.0043075,           0.0043075
                  71,            0.018241,           0.0045007,           0.0014205,             0.98947,                   1,               0.995,             0.80321,            0.018437,            0.002437,           0.0013302,            0.004225,            0.004225,            0.004225
                  72,            0.018064,           0.0044607,           0.0015366,             0.98457,                   1,               0.995,              0.7918,            0.016854,           0.0024655,           0.0013842,           0.0041425,           0.0041425,           0.0041425
                  73,            0.017928,           0.0042416,           0.0021359,             0.97615,                   1,               0.995,             0.80459,            0.016115,           0.0024561,           0.0016659,             0.00406,             0.00406,             0.00406
                  74,            0.016321,            0.004551,           0.0018292,             0.97979,                   1,               0.995,             0.82709,            0.015621,           0.0023557,           0.0016903,           0.0039775,           0.0039775,           0.0039775
                  75,            0.016913,           0.0041439,           0.0015073,              0.9864,                   1,               0.995,             0.80714,            0.016741,           0.0023865,           0.0014797,            0.003895,            0.003895,            0.003895
                  76,            0.016151,           0.0041025,           0.0012661,             0.98885,                   1,               0.995,             0.80765,            0.017366,           0.0024318,            0.001321,           0.0038125,           0.0038125,           0.0038125
                  77,            0.016285,           0.0040651,           0.0013307,             0.98837,                   1,               0.995,             0.79564,            0.017887,           0.0023398,           0.0012405,             0.00373,             0.00373,             0.00373
                  78,            0.016236,           0.0038616,           0.0016368,              0.9843,                   1,               0.995,             0.82198,            0.016933,           0.0023071,            0.001182,           0.0036475,           0.0036475,           0.0036475
                  79,            0.016047,           0.0042596,           0.0022167,             0.98634,                   1,               0.995,             0.81466,            0.015891,           0.0023776,           0.0013453,            0.003565,            0.003565,            0.003565
                  80,            0.016339,           0.0040925,           0.0015518,             0.98792,                   1,               0.995,             0.82941,            0.016537,           0.0023804,           0.0013529,           0.0034825,           0.0034825,           0.0034825
                  81,            0.016398,           0.0038997,           0.0013097,             0.98813,                   1,               0.995,             0.81961,            0.015612,           0.0023552,           0.0013032,              0.0034,              0.0034,              0.0034
                  82,            0.016472,           0.0039802,           0.0020797,              0.9866,                   1,               0.995,             0.82755,            0.016657,           0.0024216,           0.0013029,           0.0033175,           0.0033175,           0.0033175
                  83,            0.015822,           0.0040809,           0.0016399,             0.98254,                   1,               0.995,               0.811,            0.016431,           0.0023963,           0.0014378,            0.003235,            0.003235,            0.003235
                  84,            0.015926,           0.0039532,           0.0016298,             0.98408,                   1,               0.995,              0.8395,            0.015527,           0.0023482,           0.0013386,           0.0031525,           0.0031525,           0.0031525
                  85,            0.015561,           0.0038364,           0.0010613,             0.98775,                   1,               0.995,             0.81679,            0.015088,           0.0023893,           0.0012177,             0.00307,             0.00307,             0.00307
                  86,            0.015223,            0.003907,           0.0017714,             0.98831,                   1,               0.995,             0.81322,            0.016491,           0.0024935,           0.0012436,           0.0029875,           0.0029875,           0.0029875
                  87,            0.015549,           0.0039204,           0.0014012,             0.98735,                   1,               0.995,             0.80396,            0.016615,           0.0024758,           0.0013519,            0.002905,            0.002905,            0.002905
                  88,            0.015462,           0.0039711,           0.0017135,              0.9847,                   1,               0.995,             0.78196,            0.016873,           0.0024856,           0.0015293,           0.0028225,           0.0028225,           0.0028225
                  89,            0.014657,           0.0041141,           0.0018795,             0.98476,                   1,               0.995,             0.82916,            0.015824,            0.002422,           0.0015133,             0.00274,             0.00274,             0.00274
                  90,            0.014009,           0.0040552,            0.001245,             0.98838,                   1,               0.995,             0.83218,            0.015896,           0.0023323,           0.0012707,           0.0026575,           0.0026575,           0.0026575
                  91,            0.014634,           0.0035419,           0.0013516,             0.98734,                   1,               0.995,             0.83259,            0.016022,           0.0023631,           0.0011846,            0.002575,            0.002575,            0.002575
                  92,            0.014825,           0.0038028,           0.0013129,             0.98707,                   1,               0.995,              0.8448,            0.016491,           0.0023814,           0.0011806,           0.0024925,           0.0024925,           0.0024925
                  93,            0.014283,             0.00392,           0.0011734,             0.98813,                   1,               0.995,             0.85475,             0.01617,           0.0023608,           0.0011377,             0.00241,             0.00241,             0.00241
                  94,            0.014551,           0.0038057,           0.0013671,             0.98859,                   1,               0.995,             0.82849,            0.016845,           0.0024239,           0.0010511,           0.0023275,           0.0023275,           0.0023275
                  95,            0.014462,           0.0039073,           0.0015003,              0.9859,                   1,               0.995,             0.81326,             0.01542,           0.0023987,           0.0011854,            0.002245,            0.002245,            0.002245
                  96,            0.013789,           0.0035956,           0.0016455,             0.97719,                   1,               0.995,             0.81066,            0.016027,            0.002444,           0.0015244,           0.0021625,           0.0021625,           0.0021625
                  97,              0.0138,           0.0038789,           0.0012344,             0.98612,                   1,               0.995,             0.82651,            0.015237,           0.0024318,           0.0011866,             0.00208,             0.00208,             0.00208
                  98,            0.013649,           0.0038237,           0.0012491,             0.98974,                   1,               0.995,             0.83909,            0.015409,           0.0024295,           0.0010515,           0.0019975,           0.0019975,           0.0019975
                  99,            0.013052,           0.0036744,           0.0015265,             0.98844,                   1,               0.995,             0.84598,            0.014912,           0.0024131,          0.00099497,            0.001915,            0.001915,            0.001915
                 100,            0.013549,           0.0036699,           0.0012345,             0.98779,                   1,               0.995,             0.83087,            0.015108,           0.0023944,          0.00097561,           0.0018325,           0.0018325,           0.0018325
                 101,             0.01303,           0.0035183,           0.0012351,             0.98842,                   1,               0.995,             0.84265,             0.01574,           0.0023982,          0.00094795,             0.00175,             0.00175,             0.00175
                 102,            0.012934,           0.0038705,          0.00084449,             0.98872,                   1,               0.995,             0.85096,            0.014329,           0.0023365,          0.00092592,           0.0016675,           0.0016675,           0.0016675
                 103,            0.012878,           0.0037589,           0.0011747,             0.98897,                   1,               0.995,             0.83224,            0.014946,           0.0023328,          0.00085936,            0.001585,            0.001585,            0.001585
                 104,            0.012846,           0.0037192,           0.0014326,              0.9885,                   1,               0.995,             0.83238,            0.015188,           0.0023664,          0.00090513,           0.0015025,           0.0015025,           0.0015025
                 105,             0.01231,           0.0036956,            0.001305,             0.98811,                   1,               0.995,             0.82952,            0.015391,           0.0023949,          0.00090237,             0.00142,             0.00142,             0.00142
